iter	Passed	Remaining
0	17	2545
1	27	2004
2	34	1667
3	45	1671
4	54	1576
5	62	1500
6	67	1378
7	72	1280
8	80	1257
9	90	1267
10	98	1247
11	109	1259
12	114	1202
13	122	1193
14	135	1217
15	141	1183
16	154	1210
17	161	1184
18	170	1172
19	179	1165
20	190	1168
21	197	1150
22	206	1138
23	212	1116
24	221	1105
25	228	1090
26	237	1082
27	246	1073
28	250	1046
29	258	1035
30	266	1024
31	284	1050
32	290	1029
33	301	1028
34	306	1005
35	325	1032
36	340	1039
37	346	1020
38	355	1011
39	368	1013
40	381	1015
41	389	1001
42	392	977
43	403	973
44	413	964
45	420	949
46	428	939
47	435	924
48	444	916
49	452	905
50	457	888
51	467	881
52	477	873
53	485	862
54	495	856
55	509	855
56	515	841
57	524	832
58	542	836
59	550	825
60	558	815
61	567	805
62	576	795
63	583	784
64	592	775
65	599	762
66	608	753
67	614	740
68	625	733
69	633	723
70	640	712
71	651	705
72	666	703
73	675	693
74	686	686
75	700	682
76	712	675
77	719	664
78	733	659
79	742	649
80	749	638
81	757	628
82	764	616
83	774	608
84	782	598
85	791	589
86	799	579
87	806	568
88	815	559
89	824	549
90	831	539
91	839	529
92	846	518
93	857	510
94	864	500
95	873	491
96	880	480
97	888	471
98	892	460
99	897	448
100	902	437
101	907	426
102	911	415
103	916	405
104	920	394
105	924	383
106	928	373
107	932	362
108	936	352
109	946	344
110	955	335
111	964	327
112	969	317
113	979	309
114	987	300
115	995	291
116	1002	282
117	1010	274
118	1021	266
119	1030	257
120	1039	249
121	1048	240
122	1055	231
123	1063	223
124	1072	214
125	1081	205
126	1088	197
127	1096	188
128	1103	179
129	1113	171
130	1122	162
131	1131	154
132	1137	145
133	1146	136
134	1159	128
135	1165	119
136	1174	111
137	1180	102
138	1188	94
139	1196	85
140	1205	76
141	1218	68
142	1231	60
143	1243	51
144	1258	43
145	1270	34
146	1288	26
147	1301	17
148	1307	8
149	1311	0
