,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.81161516 0.8398161  0.82286497 0.82164033],0.8239841427215541,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes', 'multiple_lines_Yes')",0.0162366353722862,0.010129023388980782,0.00584799438025607
19,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)",[0.82108075 0.83700193 0.82274867 0.82452976],0.8263402779797041,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'multiple_lines_Yes')",0.010058984146928062,0.006275172371458812,0.0036229724578730475
18,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 19)",[0.82082339 0.83564274 0.82259587 0.82128685],0.8250872142024405,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'multiple_lines_Yes')",0.009824357106640655,0.006128803205417497,0.0035384661804580327
17,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 19)",[0.82236986 0.83235195 0.82495393 0.82023553],0.8249778184520458,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'multiple_lines_Yes')",0.0073313000477887285,0.0045735405121210115,0.0026405348458227247
16,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 19)",[0.82307818 0.83775223 0.82369737 0.81734839],0.8254690416738141,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male', 'multiple_lines_Yes')",0.012040423109415076,0.007511268467397857,0.004336632871607701
15,"(0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 15, 16, 19)",[0.81814724 0.83159253 0.82111353 0.81766082],0.822128532738839,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male', 'multiple_lines_Yes')",0.009011288804507958,0.0056215806398853515,0.003245621095708996
14,"(0, 1, 2, 3, 4, 5, 7, 9, 11, 12, 13, 15, 16, 19)",[0.81711778 0.83096767 0.82345563 0.81524347],0.8216961369671555,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Electronic check', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male', 'multiple_lines_Yes')",0.00987023524714151,0.006157423713763042,0.0035549902386556777
13,"(0, 1, 2, 3, 4, 5, 7, 9, 11, 12, 13, 15, 16)",[0.82378651 0.8361741  0.81997327 0.81642706],0.8240902364346615,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Electronic check', 'internet_service_Fiber optic', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male')",0.011936178858733227,0.007446236985867794,0.004299086928240518
12,"(0, 1, 2, 3, 4, 5, 7, 9, 12, 13, 15, 16)",[0.82701155 0.82936903 0.81829025 0.81235633],0.8217567876551617,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Electronic check', 'internet_service_Fiber optic', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male')",0.010929237613847344,0.006818069192053353,0.003936414083385497
11,"(0, 1, 2, 3, 4, 5, 7, 12, 13, 15, 16)",[0.82576344 0.82891292 0.81587289 0.81971101],0.8225650669360796,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Electronic check', 'device_protection_Yes', 'tech_support_Yes', 'streaming_movies_Yes', 'gender_Male')",0.0081522149689115,0.005085658093489413,0.002936206069282512
