,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(9,)",[0.66615118 0.69648982 0.68473145 0.66566628],0.6782596797530384,"('internet_service_Fiber optic',)",0.02089157945586169,0.01303295246146662,0.0075245786119633494
2,"(4, 9)",[0.75195416 0.77034226 0.75237174 0.73037382],0.7512604961269943,"('type_Two year', 'internet_service_Fiber optic')",0.02269907148045086,0.014160533919858519,0.008175588070499142
3,"(3, 4, 9)",[0.80441803 0.81847725 0.79655687 0.78513145],0.8011459001657223,"('type_One year', 'type_Two year', 'internet_service_Fiber optic')",0.019445101679398044,0.012130585259549334,0.007003596665028514
4,"(3, 4, 7, 9)",[0.81376064 0.83085136 0.80743496 0.80112247],0.8132923584015607,"('type_One year', 'type_Two year', 'payment_method_Electronic check', 'internet_service_Fiber optic')",0.01775900058682134,0.011078732026948795,0.006396308918038615
5,"(3, 4, 5, 7, 9)",[0.81619992 0.83948086 0.80849084 0.80634943],0.8176302625608938,"('type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Electronic check', 'internet_service_Fiber optic')",0.021057720352048333,0.013136597396809146,0.007584418043283497
6,"(3, 4, 5, 7, 9, 13)",[0.82292103 0.83280349 0.81104275 0.80659345],0.818340179188531,"('type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Electronic check', 'internet_service_Fiber optic', 'tech_support_Yes')",0.01645321701394045,0.010264135157129754,0.005926001195967566
7,"(3, 4, 5, 7, 9, 13, 14)",[0.81239865 0.83049332 0.80906097 0.80835401],0.8150767381959682,"('type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Electronic check', 'internet_service_Fiber optic', 'tech_support_Yes', 'streaming_tv_Yes')",0.014476344980952455,0.009030888083457377,0.0052139856660055
8,"(3, 4, 5, 6, 7, 9, 13, 14)",[0.80539967 0.82832455 0.80300618 0.79951699],0.8090618460535313,"('type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'internet_service_Fiber optic', 'tech_support_Yes', 'streaming_tv_Yes')",0.018139887741191088,0.011316343749249256,0.006533494109871397
9,"(3, 4, 5, 6, 7, 8, 9, 13, 14)",[0.80169178 0.81796185 0.7957222  0.7926777 ],0.802013381575068,"('type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'tech_support_Yes', 'streaming_tv_Yes')",0.01564839694036323,0.00976205814657501,0.0056361268987698615
10,"(3, 4, 5, 6, 7, 8, 9, 13, 14, 19)",[0.79344697 0.80538705 0.78844049 0.79122272],0.7946243079307475,"('type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'tech_support_Yes', 'streaming_tv_Yes', 'multiple_lines_Yes')",0.010358570026667782,0.006462065302987688,0.003730875142200883
